id,known,name,products,sameAs/0,url
en:virgin-olive-oil,True,Virgin olive oil,16369,,https://world.openfoodfacts.org/ingredient/virgin-olive-oil
en:palm-kernel-oil-and-fat,True,Palm kernel oil and fat,16349,,https://world.openfoodfacts.org/ingredient/palm-kernel-oil-and-fat
en:fortified-wheat-flour,True,Fortified wheat flour,16340,,https://world.openfoodfacts.org/ingredient/fortified-wheat-flour
en:e414,True,E414,16188,https://www.wikidata.org/wiki/Q535814,https://world.openfoodfacts.org/ingredient/e414
en:retinyl-palmitate,True,Retinyl palmitate,16115,https://www.wikidata.org/wiki/Q7316807,https://world.openfoodfacts.org/ingredient/retinyl-palmitate
en:e422,True,E422,16097,https://www.wikidata.org/wiki/Q132501,https://world.openfoodfacts.org/ingredient/e422
en:vegetable-fat,True,Vegetable fat,15823,,https://world.openfoodfacts.org/ingredient/vegetable-fat
en:coating,True,Coating,15748,,https://world.openfoodfacts.org/ingredient/coating
en:e110,True,E110,15657,https://www.wikidata.org/wiki/Q410095,https://world.openfoodfacts.org/ingredient/e110
en:durum-wheat,True,Durum wheat,15645,https://www.wikidata.org/wiki/Q618324,https://world.openfoodfacts.org/ingredient/durum-wheat
en:cinnamon,True,Cinnamon,15498,https://www.wikidata.org/wiki/Q28165,https://world.openfoodfacts.org/ingredient/cinnamon
en:extra-virgin-olive-oil,True,Extra virgin olive oil,15428,,https://world.openfoodfacts.org/ingredient/extra-virgin-olive-oil
en:orange,True,Orange,15154,https://www.wikidata.org/wiki/Q13191,https://world.openfoodfacts.org/ingredient/orange
en:palm-kernel-oil,True,Palm kernel oil,15138,https://www.wikidata.org/wiki/Q1960534,https://world.openfoodfacts.org/ingredient/palm-kernel-oil
en:whey-powder,True,Whey powder,15071,,https://world.openfoodfacts.org/ingredient/whey-powder
en:e301,True,E301,14951,https://www.wikidata.org/wiki/Q424551,https://world.openfoodfacts.org/ingredient/e301
en:e621,True,E621,14908,https://www.wikidata.org/wiki/Q179678,https://world.openfoodfacts.org/ingredient/e621
en:gelling-agent,True,Gelling agent,14772,https://www.wikidata.org/wiki/Q27862636,https://world.openfoodfacts.org/ingredient/gelling-agent
en:sunflower-lecithin,True,Sunflower lecithin,14745,https://www.wikidata.org/wiki/Q57271747,https://world.openfoodfacts.org/ingredient/sunflower-lecithin
en:vitamin-b6,True,Vitamin B6,14662,https://www.wikidata.org/wiki/Q205130,https://world.openfoodfacts.org/ingredient/vitamin-b6
en:vitamin-c,True,Vitamin C,14421,https://www.wikidata.org/wiki/Q199678,https://world.openfoodfacts.org/ingredient/vitamin-c
en:invert-sugar,True,Invert sugar,14364,https://www.wikidata.org/wiki/Q412082,https://world.openfoodfacts.org/ingredient/invert-sugar
en:brown-sugar,True,Brown sugar,14337,https://www.wikidata.org/wiki/Q11190742,https://world.openfoodfacts.org/ingredient/brown-sugar
en:distilled-vinegar,True,Distilled vinegar,14336,,https://world.openfoodfacts.org/ingredient/distilled-vinegar
en:strawberry,True,Strawberry,14225,https://www.wikidata.org/wiki/Q14458220,https://world.openfoodfacts.org/ingredient/strawberry
en:vanilla-extract,True,Vanilla extract,14225,https://www.wikidata.org/wiki/Q10749869,https://world.openfoodfacts.org/ingredient/vanilla-extract
en:soy-protein,True,Soy protein,14178,,https://world.openfoodfacts.org/ingredient/soy-protein
en:molasses,True,Molasses,14024,https://www.wikidata.org/wiki/Q154389,https://world.openfoodfacts.org/ingredient/molasses
en:wholemeal-flour,True,Wholemeal flour,13840,,https://world.openfoodfacts.org/ingredient/wholemeal-flour
en:e341i,True,E341i,13816,https://www.wikidata.org/wiki/Q426664,https://world.openfoodfacts.org/ingredient/e341i
en:bell-pepper,True,Bell pepper,13785,https://www.wikidata.org/wiki/Q1548030,https://world.openfoodfacts.org/ingredient/bell-pepper
en:coagulating-enzyme,True,Coagulating enzyme,13739,,https://world.openfoodfacts.org/ingredient/coagulating-enzyme
en:lemon-juice,True,Lemon juice,13712,,https://world.openfoodfacts.org/ingredient/lemon-juice
en:basil,True,Basil,13668,https://www.wikidata.org/wiki/Q38859,https://world.openfoodfacts.org/ingredient/basil
en:natural-vanilla-flavouring,True,Natural vanilla flavouring,13604,,https://world.openfoodfacts.org/ingredient/natural-vanilla-flavouring
en:durum-wheat-semolina,True,Durum wheat semolina,13581,https://www.wikidata.org/wiki/Q95370124,https://world.openfoodfacts.org/ingredient/durum-wheat-semolina
en:e466,True,E466,13572,https://www.wikidata.org/wiki/Q411030,https://world.openfoodfacts.org/ingredient/e466
